,ClientId,# of Orders Placed,# Different products (SKUs) purchased,# of Items Purchased,Max Orders for one SKU,Total Value of all Orders Placed,City,State,Country,FirstYmd,LastYmd,Firsthm,Lasthm,totaldays
167,4658.0,1,1,1,1,13.98,ORLANDO,FL,US,2017-10-16,2018-05-02,10:17,21:40,198 days 00:00:00.000000000
168,4672.0,6,1,7,6,97.06,Ooltewah,TN,US,2017-09-22,2019-06-05,10:09,3:55,621 days 00:00:00.000000000
169,4700.0,2,1,2,2,28.96,UPLAND,CA,US,2017-10-17,2018-08-23,2:21,11:19,310 days 00:00:00.000000000
170,4717.0,1,1,1,1,12.75,MEDFORD,MA,US,2017-10-16,2019-05-02,16:02,6:28,563 days 00:00:00.000000000
171,4792.0,7,1,8,7,116.77,TUCSON,AZ,US,2017-10-19,2018-11-08,11:02,17:53,385 days 00:00:00.000000000
172,4826.0,1,1,1,1,14.99,Emporia,KS,US,2017-10-18,2019-03-06,12:11,8:52,504 days 00:00:00.000000000
173,4871.0,1,1,1,1,14.98,MIAMI,FL,US,2017-10-21,2018-09-08,17:42,11:32,322 days 00:00:00.000000000
174,4873.0,3,1,3,3,40.67,WINNETKA,CA,US,2017-10-20,2019-02-14,22:05,13:49,482 days 00:00:00.000000000
175,4877.0,1,1,1,1,12.99,Bellevue,WA,US,2017-10-20,2019-01-26,12:15,17:34,463 days 00:00:00.000000000
176,4881.0,2,1,2,2,29.96,CINCINNATI,OH,US,2017-10-15,2018-01-10,19:55,22:29,87 days 00:00:00.000000000
177,4894.0,5,2,5,4,89.91,TULSA,OK,US,2017-10-23,2019-07-21,8:55,13:13,636 days 00:00:00.000000000
178,4913.0,6,2,9,5,144.85,WASHINGTON,DC,US,2017-10-23,2019-03-25,6:03,13:20,518 days 00:00:00.000000000
179,4915.0,1,1,1,1,14.98,Columbus,OH,US,2017-10-22,2018-04-06,12:36,10:56,166 days 00:00:00.000000000
180,4994.0,3,2,6,2,134.78,SOQUEL,CA,US,2017-10-23,2019-02-26,7:27,14:46,491 days 00:00:00.000000000
181,5029.0,6,1,6,6,84.9,ALEXANDRIA,VA,US,2017-10-13,2018-12-18,14:12,16:38,431 days 00:00:00.000000000
182,5033.0,1,1,1,1,14.98,ATLANTA,GA,US,2017-10-25,2018-09-07,17:55,11:34,317 days 00:00:00.000000000
183,5037.0,3,1,3,3,41.95,SALEM,OR,US,2017-10-26,2018-12-05,4:48,6:25,405 days 00:00:00.000000000
184,5041.0,1,1,4,1,59.92,BOSTON,MA,US,2017-10-25,2018-01-01,11:43,18:54,68 days 00:00:00.000000000
185,5075.0,1,1,1,1,13.99,"DEER LODGE,",TN,US,2017-10-26,2019-03-06,14:11,15:28,496 days 00:00:00.000000000
186,5094.0,1,1,1,1,14.98,CHICAGO,IL,US,2017-10-27,2018-03-29,8:53,9:59,153 days 00:00:00.000000000
187,5135.0,2,1,2,2,29.96,FREDERICK,MD,US,2017-10-28,2018-03-21,9:25,7:04,144 days 00:00:00.000000000
188,5137.0,1,1,1,1,11.75,LOS ANGELES,CA,US,2017-10-28,2019-07-16,15:01,17:02,626 days 00:00:00.000000000
189,5165.0,11,1,11,11,155.58,PHILADELPHIA,PA,US,2017-10-29,2019-07-06,15:19,14:09,615 days 00:00:00.000000000
190,5211.0,1,1,1,1,11.75,SAN DIEGO,CA,US,2017-10-30,2019-07-15,8:16,0:22,623 days 00:00:00.000000000
191,5259.0,1,1,1,1,12.99,UKIAH,CA,US,2017-10-25,2018-11-25,23:23,6:22,396 days 00:00:00.000000000
192,5260.0,2,1,2,2,27.97,STATEN ISLAND,NY,US,2017-10-31,2018-12-08,18:32,6:09,403 days 00:00:00.000000000
193,5297.0,1,1,1,1,14.98,HOWELL,MI,US,2017-11-01,2018-04-08,7:32,18:46,158 days 00:00:00.000000000
194,5331.0,1,1,1,1,14.98,MIAMI,FL,US,2017-11-02,2018-06-27,18:02,16:44,237 days 00:00:00.000000000
195,5351.0,3,1,3,3,40.96,WARWICK,NY,US,2017-11-03,2019-03-01,12:24,8:02,483 days 00:00:00.000000000
196,5439.0,1,1,1,1,12.99,NEBRASKA CITY,NE,US,2017-07-24,2018-11-12,12:58,15:31,476 days 00:00:00.000000000
197,5442.0,3,1,3,3,39.96,ALHAMBRA,CA,US,2017-11-06,2019-03-25,13:39,20:39,504 days 00:00:00.000000000
198,5468.0,1,1,1,1,13.98,BRAINERD,MN,US,2017-10-31,2018-04-25,13:29,6:49,176 days 00:00:00.000000000
199,5489.0,2,1,2,2,26.97,MAPLE GROVE,MN,US,2017-11-07,2018-12-17,19:10,13:12,405 days 00:00:00.000000000
200,5530.0,1,1,1,1,14.98,HALLANDALE BEACH,FL,US,2017-11-08,2018-01-03,6:41,22:01,56 days 00:00:00.000000000
201,5570.0,2,1,2,2,29.96,ORLANDO,FL,US,2017-11-09,2018-03-30,6:50,10:34,141 days 00:00:00.000000000
202,5604.0,2,1,2,2,29.96,CHATSWORTH,CA,US,2017-11-03,2018-07-12,12:16,0:16,251 days 00:00:00.000000000
203,5644.0,2,2,2,1,30.96,Rahway,NJ,US,2017-11-11,2018-05-12,15:39,19:35,182 days 00:00:00.000000000
204,5664.0,1,1,1,1,14.98,TERRE HAUTE,IN,US,2017-11-12,2018-01-15,13:55,6:26,64 days 00:00:00.000000000
