ClientId,# of Orders Placed,# Different products (SKUs) purchased,# of Items Purchased,Max Orders for one SKU,Total Value of all Orders Placed,City,OriginalState,State,Country,Phone,Real Email,Notes,Opt Out,LastPurchaseDate,FirstPurchaseDate
1025,1,1,1,1,12.7,Bayside,NY,NY,US,,,,,2018-09-25 8:21,2017-07-18 4:30
1036,1,1,1,1,12.75,DUARTE,CA,CA,US,,,,,2019-05-13 19:14,2017-07-16 13:13
1134,1,1,1,1,12.75,CAMBRIDGE,MA,MA,US,,,,,2019-05-10 10:26,2017-07-20 19:04
1138,1,1,1,1,33.79,HAIKU,HI,HI,US,,,,,2019-04-27 18:39,2017-07-18 15:55
1157,1,1,1,1,11.75,LEWISVILLE,TX,TX,US,,,,,2019-05-27 21:39,2017-07-21 13:38
1172,4,1,4,4,57.93,SEATTLE,WA,WA,US,,,,,2019-03-14 19:15,2017-07-07 16:46
1221,2,1,2,2,25.74,GREENACRES,WASHINGTON,WA,US,,,,,2019-05-29 8:25,2017-07-23 7:01
1233,3,1,3,3,43.94,OSHKOSH,WI,WI,US,,,,,2018-07-01 10:08,2017-07-23 19:30
1239,1,1,1,1,14.98,FARMINGTON,CT,CT,US,,,,,2018-01-29 6:32,2017-07-23 16:31
1257,1,1,1,1,13.98,HILLIARD,OH,OH,US,,,,,2018-04-18 11:18,2017-07-21 11:21
1393,2,2,7,1,151.89,ANN ARBOR,MI,MI,US,,,,,2019-05-09 21:24,2017-07-26 15:22
1394,1,1,1,1,14.98,MILL VALLEY,CA,CA,US,,,,,2018-02-14 12:28,2017-07-26 15:59
1411,1,1,1,1,14.98,DAYTON,OHIO,OH,US,,,,,2018-01-23 5:47,2017-07-27 17:44
1418,1,1,1,1,12.99,KAty,TX,TX,US,,,,,2018-10-19 14:48,2017-07-27 21:31
1508,4,1,4,4,59.92,webster,texas,TX,US,,,,,2018-09-15 18:59,2017-07-29 18:40
1531,1,1,1,1,12.99,DUGSPUR,VA,VA,US,,,,,2018-12-02 8:01,2017-07-28 15:07
1539,1,1,2,1,63.98,CHAMPAIGN,IL,IL,US,,,,,2019-08-04 7:08,2017-07-28 19:43
1582,1,1,1,1,12.75,ITHACA,NY,NY,US,,,,,2019-04-24 11:59,2017-07-30 19:14
1614,1,1,1,1,12.99,FAIRFAX,VA,VA,US,,,,,2018-10-24 5:12,2017-07-31 10:54
1623,1,1,1,1,14.98,YORKTOWN HEIGHTS,NY,NY,US,,,,,2018-01-03 13:31,2017-08-01 12:08
1659,6,1,6,6,81.39,LOS GATOS,CA,CA,US,,,,,2019-05-24 6:13,2017-08-01 23:34
1728,1,1,2,1,29.96,SAGINAW,MI,MI,US,,,,,2018-03-19 8:20,2017-08-03 16:36
1729,1,1,1,1,14.98,BRISTOL,CT,CT,US,,,,,2018-03-21 11:31,2017-08-02 17:45
1783,1,1,1,1,11.75,ELYRIA,OH,OH,US,,,,,2019-05-22 11:32,2017-08-05 10:28
1792,1,1,1,1,13.98,SAN ANTONIO,TX,TX,US,,,,,2018-06-11 0:16,2017-08-05 13:53
1794,2,1,2,2,27.68,GLOUCESTER,VIRGINIA,VA,US,,,,,2018-09-29 4:13,2017-08-04 9:55
1827,1,1,1,1,16.98,Kailua-Kona,HI,HI,US,,,,,2018-06-26 2:49,2017-08-02 2:22
1877,1,1,1,1,12.99,PASADENA,TX,TX,US,,,,,2019-01-16 18:15,2017-08-06 21:45
1896,1,1,1,1,13.99,CENTREVILLE,VA,VA,US,,,,,2019-03-02 13:13,2017-08-08 18:45
1940,1,1,1,1,11.75,CAMPBELL,CA,CA,US,,,,,2019-07-02 20:15,2017-08-06 4:03
1945,1,1,1,1,12.75,Glastonbury,CT,CT,US,,,,,2019-04-29 5:20,2017-07-10 14:08
2019,1,1,1,1,14.98,pleasantville,NY,NY,US,,,,,2018-01-01 13:24,2017-08-12 14:32
2113,1,1,1,1,12.75,AUBURN,WA,WA,US,,,,,2019-04-06 22:15,2017-08-14 10:45
2182,2,1,2,2,27.97,ROCHESTER,NY,NY,US,,,,,2019-01-07 8:18,2017-07-25 6:16
2247,2,1,2,2,28.96,CHICAGO,IL,IL,US,,,,,2018-04-28 7:06,2017-08-16 6:31
2307,1,1,1,1,14.98,SAN DIEGO,CA,CA,US,,,,,2018-07-22 23:00,2017-08-18 16:32
2327,1,1,1,1,14.98,LOS ANGELES,CA,CA,US,,,,,2018-02-18 6:41,2017-08-13 11:31
2335,1,1,1,1,14.98,COLLEGE PLACE,WASHINGTON,WA,US,,,,,2018-08-01 17:27,2017-08-20 6:20
2362,2,2,3,1,57.97,GLENWOOD,AR,AR,US,,,,,2019-03-24 19:16,2017-08-18 8:02
2375,1,1,1,1,11.75,OROVILLE,CA,CA,US,,,,,2019-07-16 17:32,2017-08-21 15:42
2407,1,1,1,1,13.99,CLINTON,MA,MA,US,,,,,2018-11-14 19:07,2017-08-21 16:36
2426,1,1,1,1,14.98,Lima,OH,OH,US,,,,,2018-01-26 8:58,2017-08-22 10:34
2472,2,1,2,2,29.96,NEW YORK,NY,NY,US,,,,,2018-08-14 14:22,2017-08-22 23:27
2489,1,1,1,1,13.99,ARLINGTON,TN,TN,US,,,,,2019-02-27 12:53,2017-08-23 14:05
2501,2,1,2,2,29.96,HOUSTON,TX,TX,US,,,,,2018-01-12 22:09,2017-08-17 15:39
2532,5,1,5,5,71.91,ROSLINDALE,MA,MA,US,,,,,2018-11-11 12:55,2017-08-11 23:48
2533,1,1,1,1,14.98,VANCOUVER,WA,WA,US,,,,,2018-01-14 23:06,2017-08-25 0:25
2543,5,1,5,5,73.9,BRADENTON,FL,FL,US,,,,,2018-05-14 6:52,2017-08-19 6:26
2606,1,1,1,1,12.75,Northfield,IL,IL,US,,,,,2019-05-04 14:56,2017-08-26 12:38
2607,1,1,1,1,13.98,RIVIERA BEACH,FL,FL,US,,,,,2018-05-26 9:21,2017-08-27 8:29
2615,1,1,1,1,13.79,Laredo,Texas,TX,US,,,,,2019-06-29 13:23,2017-08-27 9:19
2643,1,1,1,1,14.98,EDGEWATER,NJ,NJ,US,,,,,2018-02-13 22:28,2017-08-11 5:35
2646,7,2,13,5,290.79,Long Beach,CA,CA,US,,,,,2019-06-11 18:08,2017-08-28 17:05
2658,3,2,4,2,74.93,HOLTSVILLE,NY,NY,US,,,,,2019-02-28 12:28,2017-08-28 20:34
2671,2,1,2,2,29.96,Webster,MA,MA,US,,,,,2018-06-15 7:51,2017-08-28 8:57
2698,1,1,1,1,14.45,NORTHFIELD,ILLINOIS,IL,US,,,,,2019-02-16 9:54,2017-08-29 17:42
2706,1,1,1,1,14.98,PHOENIX,AZ,AZ,US,,,,,2018-01-21 2:00,2017-08-26 23:21
2751,3,1,3,3,44.94,Colorado Springs,CO,CO,US,,,,,2018-09-04 17:50,2017-08-30 17:11
2767,1,1,1,1,12.75,VERNON HILLS,IL,IL,US,,,,,2019-04-13 10:36,2017-08-31 20:43
2807,1,1,1,1,14.98,PORTLAND,OR,OR,US,,,,,2018-01-05 9:52,2017-09-01 16:30
2817,1,1,1,1,13.98,ALLSTON,MA,MA,US,,,,,2018-04-24 5:29,2017-09-01 4:21
2823,19,1,19,19,258.48,ANN ARBOR,MI,MI,US,,,,,2019-07-24 14:29,2017-09-02 18:42
2828,1,1,1,1,14.98,Webster,NY,NY,US,,,,,2018-10-02 13:03,2017-09-02 10:22
2886,1,1,1,1,12.99,SAUSALITO,CA,CA,US,,,,,2018-10-14 1:22,2017-09-04 0:41
2891,1,1,1,1,14.98,SCOTTSDALE,AZ,AZ,US,,,,,2018-01-04 18:11,2017-09-04 8:28
2894,1,1,1,1,14.98,Miami,Florida,FL,US,,,,,2018-06-22 13:11,2017-09-02 21:17
2917,1,1,1,1,11.75,WESTON,FL,FL,US,,,,,2019-07-09 17:18,2017-09-04 17:33
2965,1,1,1,1,14.98,CINCINNATI,OH,OH,US,,,,,2018-08-21 11:33,2017-09-05 20:50
3007,1,1,1,1,14.98,ASHEVILLE,NC,NC,US,,,,,2017-12-28 12:35,2017-09-06 12:47
3032,4,1,4,4,54.65,Pflugerville,TX,TX,US,,,,,2018-11-20 18:16,2017-09-06 13:38
3036,2,1,4,2,53.95,ANAHEIM,CA,CA,US,,,,,2018-10-30 1:19,2017-09-06 20:17
3053,1,1,1,1,14.98,cdm,CA,CA,US,,,,,2017-12-29 3:14,2017-08-29 15:39
3077,2,1,2,2,29.96,FULLERTON,CA,CA,US,,,,,2018-02-24 2:26,2017-08-27 2:48
3173,1,1,1,1,14.98,LAS VEGAS,NV,NV,US,,,,,2018-01-02 1:26,2017-09-07 10:42
3185,4,1,4,4,57.93,Silver Spring,MD,MD,US,,,,,2019-01-02 5:38,2017-09-02 0:54
3190,1,1,1,1,14.98,STATE COLLEGE,PA,PA,US,,,,,2018-08-21 10:34,2017-09-11 10:44
3228,1,1,1,1,12.99,PORTLAND,OR,OR,US,,,,,2019-01-10 10:40,2017-09-11 14:01
3315,1,1,1,1,13.98,PASO ROBLES,CA,CA,US,,,,,2018-04-30 9:14,2017-09-13 17:52
3410,5,2,7,3,99.65,PELHAM,NH,NH,US,,,,,2019-07-26 21:35,2017-09-17 6:19
3434,1,1,1,1,12.99,OXFORD,OH,OH,US,,,,,2018-12-29 12:26,2017-09-17 12:29
3461,1,1,1,1,12.99,ORLANDO,FL,FL,US,,,,,2018-12-09 3:20,2017-09-16 18:50
3489,1,1,2,1,29.96,BATON ROUGE,LA,LA,US,,,,,2018-04-04 8:35,2017-09-18 20:47
3567,1,1,1,1,13.98,GUNTERSVILLE,AL,AL,US,,,,,2018-05-23 13:13,2017-09-19 21:34
3603,1,1,1,1,12.99,WATERTOWN,MASSACHUSETTS,MA,US,,,,,2018-12-07 19:11,2017-09-21 0:25
3605,2,1,3,2,42.95,TILDEN,IL,IL,US,,,,,2018-10-23 7:12,2017-09-20 15:53
3636,4,1,5,4,66.45,SANTA BARBARA,CALIFORNIA,CA,US,,,,,2019-06-14 9:54,2017-09-21 20:51
3685,3,1,16,3,219.78,CARLSBAD,CA,CA,US,,,,,2019-01-28 18:34,2017-09-21 9:52
3777,1,1,1,1,14.98,Chesapeake,VA,VA,US,,,,,2018-03-19 11:07,2017-09-25 6:23
3807,1,1,1,1,11.75,MIDLOTHIAN,VA,VA,US,,,,,2019-05-20 21:46,2017-09-26 5:56
3832,1,1,1,1,13.98,Cary,NC,NC,US,,,,,2018-05-26 19:28,2017-09-26 8:44
3882,3,1,6,3,85.9,TEMECULA,CA,CA,US,,,,,2019-03-11 10:02,2017-09-27 17:38
3899,3,1,6,3,85.6,AUSTIN,TX,TX,US,,,,,2018-09-26 17:10,2017-09-26 16:45
3927,1,1,1,1,11.75,San Antonio,TX,TX,US,,,,,2019-08-04 10:55,2017-09-29 10:23
3928,1,1,1,1,14.98,BENICIA,CA,CA,US,,,,,2017-12-22 0:41,2017-09-06 8:46
3976,4,1,4,4,56.69,Valencia,CA,CA,US,,,,,2019-05-09 14:22,2017-09-30 12:39
4059,1,1,1,1,12.75,SANTA CLARA,CA,CA,US,,,,,2019-04-15 23:12,2017-10-01 21:49
4073,2,1,6,2,89.88,SUGAR LAND,TX,TX,US,,,,,2018-03-27 18:11,2017-10-02 19:53
4074,1,1,1,1,12.99,TINLEY PARK,IL,IL,US,,,,,2019-01-21 12:31,2017-09-30 8:30
4075,1,1,2,1,25.98,WALLED LAKE,MI,MI,US,,,,,2019-01-15 5:03,2017-10-01 17:51
4085,1,1,1,1,12.7,Quincy,MA,MA,US,,,,,2018-10-01 12:13,2017-10-01 10:41
4098,1,1,1,1,10.99,SAN FRANCISCO,CA,CA,US,,,,,2018-11-30 13:57,2017-10-03 10:17
4130,1,1,1,1,14.98,SAN JOSE,CA,CA,US,,,,,2018-03-26 2:53,2017-09-30 22:44
4136,1,1,1,1,12.99,PACIFIC GROVE,CA,CA,US,,,,,2018-11-19 13:32,2017-10-03 11:20
4138,1,1,1,1,14.98,Owosso,MI,MI,US,,,,,2018-08-08 5:13,2017-10-04 5:43
4140,1,1,1,1,14.98,TYLER,TEXAS,TX,US,,,,,2017-12-18 22:11,2017-10-03 5:27
4145,4,1,4,4,56.64,VILLA RICA,GA,GA,US,,,,,2018-09-25 12:01,2017-09-30 18:48
4203,12,1,20,12,266.44,MATHER,CA,CA,US,,,,,2019-08-12 6:45,2017-10-05 9:56
4248,5,1,8,5,109.55,DAMASCUS,OR,OR,US,,,,,2019-08-06 15:19,2017-10-05 15:09
4251,4,1,4,4,54.46,WILLIAMSTON,MI,MI,US,,,,,2019-05-14 15:59,2017-09-12 6:16
4282,1,1,1,1,12.75,MORRISVILLE,NC,NC,US,,,,,2019-04-25 18:55,2017-09-14 19:41
4326,1,1,1,1,13.99,DENVER,CO,CO,US,,,,,2019-04-04 10:21,2017-10-06 15:22
4338,1,1,1,1,13.9,REPUBLIC,MO,MO,US,,,,,2018-10-03 9:50,2017-10-08 18:36
4348,1,1,1,1,14.98,OWENSBORO,KY,KY,US,,,,,2018-01-01 21:43,2017-09-14 18:33
4395,1,1,1,1,10.99,YONKERS,NY,NY,US,,,,,2018-11-27 13:05,2017-10-09 22:16
4407,1,1,1,1,14.98,DALEVILLE,IN,IN,US,,,,,2018-09-06 5:53,2017-10-08 12:12
4413,2,1,2,2,130.98,ALTADENA,CA,CA,US,,,,,2019-08-13 0:13,2017-10-10 0:53
4458,2,1,2,2,27.97,West Linn,OR,OR,US,,,,,2018-11-03 5:35,2017-10-09 16:03
4465,1,1,1,1,33.99,MARSING,ID,ID,US,,,,,2019-01-21 9:44,2017-10-11 17:31
4466,2,1,4,2,55.94,HONOKAA,HI,HI,US,,,,,2018-10-19 14:02,2017-10-11 0:16
4507,1,1,1,1,11.75,Buford,Ga,GA,US,,,,,2019-06-11 5:39,2017-10-12 12:36
4517,1,1,1,1,66.99,CYPRESS,TX,TX,US,,,,,2019-03-26 14:38,2017-10-12 12:21
4551,1,1,1,1,14.98,SYKESVILLE,MD,MD,US,,,,,2018-01-18 16:06,2017-10-10 11:01
4573,1,1,1,1,11.75,POMPANO BEACH,FL,FL,US,,,,,2019-06-15 15:55,2017-10-14 6:33
4603,1,1,1,1,13.99,BISMARCK,ND,ND,US,,,,,2019-02-17 16:05,2017-10-15 16:46
4639,1,1,1,1,12.99,DORAL,FL,FL,US,,,,,2018-11-12 6:52,2017-10-11 8:23
4658,1,1,1,1,13.98,ORLANDO,FL,FL,US,,,,,2018-05-02 21:40,2017-10-16 10:17
4672,6,1,7,6,97.06,Ooltewah,TN,TN,US,,,,,2019-06-05 3:55,2017-09-22 10:09
4700,2,1,2,2,28.96,UPLAND,CA,CA,US,,,,,2018-08-23 11:19,2017-10-17 2:21
4717,1,1,1,1,12.75,MEDFORD,MA,MA,US,,,,,2019-05-02 6:28,2017-10-16 16:02
4792,7,1,8,7,116.77,TUCSON,AZ,AZ,US,,,,,2018-11-08 17:53,2017-10-19 11:02
4826,1,1,1,1,14.99,Emporia,KS,KS,US,,,,,2019-03-06 8:52,2017-10-18 12:11
4871,1,1,1,1,14.98,MIAMI,FL,FL,US,,,,,2018-09-08 11:32,2017-10-21 17:42
4873,3,1,3,3,40.67,WINNETKA,CA,CA,US,,,,,2019-02-14 13:49,2017-10-20 22:05
4877,1,1,1,1,12.99,Bellevue,WA,WA,US,,,,,2019-01-26 17:34,2017-10-20 12:15
4881,2,1,2,2,29.96,CINCINNATI,OH,OH,US,,,,,2018-01-10 22:29,2017-10-15 19:55
4894,5,2,5,4,89.91,TULSA,OK,OK,US,,,,,2019-07-21 13:13,2017-10-23 8:55
4913,6,2,9,5,144.85,WASHINGTON,DC,DC,US,,,,,2019-03-25 13:20,2017-10-23 6:03
4915,1,1,1,1,14.98,Columbus,OH,OH,US,,,,,2018-04-06 10:56,2017-10-22 12:36
4994,3,2,6,2,134.78,SOQUEL,CA,CA,US,,,,,2019-02-26 14:46,2017-10-23 7:27
5029,6,1,6,6,84.9,ALEXANDRIA,VA,VA,US,,,,,2018-12-18 16:38,2017-10-13 14:12
5033,1,1,1,1,14.98,ATLANTA,GA,GA,US,,,,,2018-09-07 11:34,2017-10-25 17:55
5037,3,1,3,3,41.95,SALEM,OREGON,OR,US,,,,,2018-12-05 6:25,2017-10-26 4:48
5041,1,1,4,1,59.92,BOSTON,MA,MA,US,,,,,2018-01-01 18:54,2017-10-25 11:43
5075,1,1,1,1,13.99,"DEER LODGE,",TN,TN,US,,,,,2019-03-06 15:28,2017-10-26 14:11
5094,1,1,1,1,14.98,CHICAGO,IL,IL,US,,,,,2018-03-29 9:59,2017-10-27 8:53
5135,2,1,2,2,29.96,FREDERICK,MD,MD,US,,,,,2018-03-21 7:04,2017-10-28 9:25
5137,1,1,1,1,11.75,LOS ANGELES,CA,CA,US,,,,,2019-07-16 17:02,2017-10-28 15:01
5165,11,1,11,11,155.58,PHILADELPHIA,PA,PA,US,,,,,2019-07-06 14:09,2017-10-29 15:19
5211,1,1,1,1,11.75,SAN DIEGO,CA,CA,US,,,,,2019-07-15 0:22,2017-10-30 8:16
5259,1,1,1,1,12.99,UKIAH,CA,CA,US,,,,,2018-11-25 6:22,2017-10-25 23:23
5260,2,1,2,2,27.97,STATEN ISLAND,NY,NY,US,,,,,2018-12-08 6:09,2017-10-31 18:32
5297,1,1,1,1,14.98,HOWELL,MI,MI,US,,,,,2018-04-08 18:46,2017-11-01 7:32
5331,1,1,1,1,14.98,MIAMI,FL,FL,US,,,,,2018-06-27 16:44,2017-11-02 18:02
5351,3,1,3,3,40.96,WARWICK,NY,NY,US,,,,,2019-03-01 8:02,2017-11-03 12:24
5439,1,1,1,1,12.99,NEBRASKA CITY,NE,NE,US,,,,,2018-11-12 15:31,2017-07-24 12:58
5442,3,1,3,3,39.96,ALHAMBRA,CA,CA,US,,,,,2019-03-25 20:39,2017-11-06 13:39
5468,1,1,1,1,13.98,BRAINERD,MN,MN,US,,,,,2018-04-25 6:49,2017-10-31 13:29
5489,2,1,2,2,26.97,MAPLE GROVE,MN,MN,US,,,,,2018-12-17 13:12,2017-11-07 19:10
5530,1,1,1,1,14.98,HALLANDALE BEACH,FL,FL,US,,,,,2018-01-03 22:01,2017-11-08 6:41
5570,2,1,2,2,29.96,ORLANDO,FL,FL,US,,,,,2018-03-30 10:34,2017-11-09 6:50
5604,2,1,2,2,29.96,CHATSWORTH,CA,CA,US,,,,,2018-07-12 0:16,2017-11-03 12:16
5644,2,2,2,1,30.96,Rahway,NJ,NJ,US,,,,,2018-05-12 19:35,2017-11-11 15:39
5664,1,1,1,1,14.98,TERRE HAUTE,IN,IN,US,,,,,2018-01-15 6:26,2017-11-12 13:55
5670,1,1,1,1,14.98,Arlington Heights,IL,IL,US,,,,,2018-03-24 11:32,2017-11-12 7:55
5706,2,1,2,2,25.98,CARDIFF,CA,CA,US,,,,,2019-03-07 10:20,2017-11-12 17:30
5762,3,1,4,3,59.92,Goshen,NY,NY,US,,,,,2018-03-14 10:01,2017-11-14 11:48
5764,4,1,4,4,55.94,ACWORTH,GA,GA,US,,,,,2018-10-25 11:07,2017-11-14 10:54
5776,1,1,1,1,33.99,GIBBON,MN,MN,US,,,,,2019-01-21 10:11,2017-11-14 19:37
5793,1,1,2,1,29.96,Jacksonville,FL,FL,US,,,,,2018-03-19 11:36,2017-11-14 13:25
5853,1,1,1,1,14.98,APO,AE,AE,US,,,,,2017-12-10 2:50,2017-11-15 10:29
5860,1,1,1,1,13.99,HOLT,FL,FL,US,,,,,2019-03-29 5:13,2017-11-05 5:40
5876,1,1,1,1,13.98,HOMER GLEN,IL,IL,US,,,,,2018-05-07 18:12,2017-11-17 2:27
5940,1,1,1,1,14.98,SAN ANTONIO,TX,TX,US,,,,,2017-12-08 1:27,2017-11-08 2:13
5952,2,1,2,2,29.96,ORLANDO,FL,FL,US,,,,,2018-09-02 6:52,2017-11-19 8:14
6020,1,1,1,1,14.98,Bothell,WA,WA,US,,,,,2017-12-28 13:29,2017-11-20 20:37
6047,1,1,1,1,13.98,HUNTSVILLE,AL,AL,US,,,,,2018-04-25 16:13,2017-11-20 7:34
6048,1,1,3,1,41.94,COLUMBUS,OH,OH,US,,,,,2018-04-19 12:56,2017-11-20 16:29
6054,1,1,1,1,14.98,Red Hook,NY,NY,US,,,,,2018-04-13 5:32,2017-11-21 12:10
6070,1,1,1,1,14.98,SUNNY ISLES BEACH,FL,FL,US,,,,,2018-07-07 20:37,2017-11-21 7:37
6095,1,1,1,1,12.99,Danielson,CT,CT,US,,,,,2018-11-16 10:55,2017-11-21 7:14
6101,1,1,1,1,14.98,ENCINO,CA,CA,US,,,,,2018-07-11 21:29,2017-11-21 15:19
6120,1,1,1,1,12.99,BONNEY LAKE,WA,WA,US,,,,,2018-10-13 15:34,2017-11-22 21:49
6220,1,1,1,1,14.98,hamilton,mt,MT,US,,,,,2017-12-19 5:26,2017-11-01 13:03
6227,1,1,1,1,12.99,FALL CREEK,OR,OR,US,,,,,2019-01-06 12:31,2017-11-24 12:53
6230,1,1,1,1,13.98,OGDEN,UT,UT,US,,,,,2018-05-04 6:13,2017-11-26 12:06
6273,3,1,3,3,38.68,San Juan,PR,-,PR,,,,,2018-12-19 5:10,2017-11-25 3:10
6291,1,1,1,1,14.98,Santa Cruz,CA,CA,US,,,,,2017-12-21 2:36,2017-11-24 21:15
6319,1,1,1,1,14.98,LAWRENCEVILLE,GA,GA,US,,,,,2017-12-22 21:00,2017-11-26 19:40
6330,1,1,1,1,12.75,SAVANNAH,GA,GA,US,,,,,2019-05-08 17:27,2017-11-28 16:57
6349,1,1,1,1,14.98,PHILADELPHIA,PA,PA,US,,,,,2018-04-07 8:55,2017-11-29 8:06
6365,1,1,1,1,12.99,Denison,TX,TX,US,,,,,2018-10-18 9:10,2017-11-28 13:57
6479,1,1,1,1,33.99,CANTON,GA,GA,US,,,,,2019-01-04 10:05,2017-12-01 12:13
6487,1,1,1,1,10.99,Sugar Land,Texas,TX,US,,,,,2018-11-27 10:02,2017-12-01 12:12
6506,1,1,1,1,14.98,Oakley,CA,CA,US,,,,,2018-02-17 8:01,2017-12-02 13:01
6515,1,1,1,1,12.75,SANTA CLARITA,CA,CA,US,,,,,2019-04-17 9:58,2017-12-02 8:16
6517,1,1,1,1,14.98,COON RAPIDS,MN,MN,US,,,,,2018-03-22 6:48,2017-11-22 10:33
6576,1,1,1,1,12.99,EVERETT,WA,WA,US,,,,,2018-10-22 13:44,2017-12-02 20:29
6613,1,1,1,1,11.75,SUWANEE,GA,GA,US,,,,,2019-06-16 13:07,2017-12-04 13:50
6626,2,1,2,2,29.96,MIAMI,FL,FL,US,,,,,2018-02-11 12:42,2017-11-27 14:09
6683,1,1,1,1,14.98,BERKELEY,CALIFORNIA,CA,US,,,,,2018-07-08 22:02,2017-12-04 21:37
6712,1,1,2,1,31.96,CHATTANOOGA,TN,TN,US,,,,,2018-08-28 14:06,2017-12-06 18:33
